user_id,email,hashed_password,company_name,user_type,interested_countries,interested_categories,subscription_expiry_date,created_at
1,sales@hernandezgroupgroup,$6$12$8G76a9KVI7Bibo.zMiMOeffvDC5gci9U7raLo0mBsu0mAEVMoxXPN,Hernandez Group Group,pro,"[1, 2, 3, 7]","[1, 3, 5, 6, 8, 9, 10, 13]",2026-01-10,2025-08-15 05:18:40
2,sales@globaldavisco,$2a$12$zw.3f0speXWepqjqUojLr2.ttv9PBAONxRFPaGXrXdE2nwYIuMtvD,Global Davis & Co.,pro,"[2, 5, 10]","[2, 3, 5, 12, 14, 15]",2026-01-10,2025-06-14 23:56:22
3,margaret.campbell,$5$12$F9hAtajulthI0JinzqHDE4QQZUfS8bhfwr2hgt4zCij/U4XxRJGck,Solutions Trading International,pro,"[1, 2, 4, 6, 8]","[3, 5, 7, 12]",2026-01-10,2025-08-05 00:10:52
4,info@servicesimportholdings,$2b$12$MPjc9xpIhOdHYgvZAoH7eqU0iQgoF8BazUrCYLJjg3RMfp1abLNP9,Services Import Holdings,basic,[9],"[2, 4]",2024-06-07,2024-03-09 06:15:22
5,export@leegroupholdings@gmail.com,$2b$12$CnWj5Q/WZBuQbBL2SrRpEZmazSmjJghKdPCIcLpy1H9LaC/aBQXRZ,Lee Group Holdings,enterprise,"[1, 3, 5, 8, 9, 10]","[2, 3, 5, 6, 8, 9, 10, 13, 14, 15]",2026-01-10,2025-02-03 11:36:39
6,mary@com.ph,$2a$12$yGOBfrXLvAMswKH/SEGSyZwjG9RpsSLPiH5Nxqho9S7qt9WZssXFo,Global Penang Import,pro,"[3, 4, 6, 7, 8]","[1, 3, 5]",2024-12-28,2024-04-02 10:21:08
7,charlotte.williams,$2b$12$f3Ll8491dANz10A.rud5M67R0aGsXQlXJu9L5OvOiavTDxXshxse7,Solutions Export Trading,pro,"[2, 4, 5, 8, 9]","[2, 8, 13]",2024-11-27,2024-02-01 19:38:54
8,evelyn99@co.th,$6$12$NvMkuc7RMWN.rD/XqO.kZjvD6JhWkcC4dDh8d9JVgXISjDeQN4XW3,Hanoi Global Trading Co.,free,"[1, 4]","[1, 5]",,2024-03-02 09:08:50
9,nora83@com.sg,$2a$12$kxfvJTiKZJFWieTi7cKSH1ShX5Ac5Zlzw085t2PrtiQcDEfvKDr3p,Singapore Technology Holdings,basic,[6],"[1, 8, 13]",2025-01-27,2024-07-01 04:56:03
10,david14@com.bn,$2a$12$I5EWSAuNrO2GvjKPk6ICEGqpRliltWhI50DIrMN63EL9A.9kJBXgD,Jones Holdings Enterprise,free,[1],"[2, 6]",,2025-05-09 09:28:01
11,karen.jones,$6$12$Bl.GiBX4mt909m/m/VX2E7gkpse5TRiWRm9inuaPhICu6dL24pqkq,Global Technology Import,basic,[1],"[3, 5, 14, 15]",2024-10-11,2024-02-14 05:19:27
12,ella.1994,$5$12$HtFQ5x/j4n4qxBJnE4k.s82cCLEFYvCk02f/BjyQj.jlNHg4BgQfl,Global Bangkok Southeast,pro,"[3, 6, 7, 8, 10]","[1, 3, 5, 9, 11, 15]",2026-01-10,2025-08-01 01:02:55
13,avery72@company.com,$5$12$95kQ/dYzByyJuz5NQ8L5GroAIWGI7j8POQUcl4jujs5YOdpnrLAi9,Công ty Penang Services,free,[1],[3],,2025-04-06 09:04:51
